run_id,generated_at_utc,retrieval_f1_on,retrieval_recall_on,retrieval_precision_on,retrieval_f1_off,retrieval_recall_off,retrieval_precision_off,bleu,rouge
baseline_20260312_0524,2026-03-11T20:23:48.952153+00:00,0.0,0.0,0.0,0.0,0.0,0.0,39.031375,0.43274
baseline_20260312_0527,2026-03-11T20:27:28.189859+00:00,0.971154,1.0,0.953125,0.54517,0.575,0.528125,39.031375,0.43274
iter3_20260312_055548,2026-03-11T20:58:12.639093+00:00,0.950631,0.9375,0.975,0.566987,0.559375,0.5875,43.612642,0.441271
iter4_20260312_061341,2026-03-11T21:17:58.153530+00:00,0.857692,0.875,0.846875,0.523317,0.540625,0.5125,39.391726,0.37649
iter5_20260312_062157,2026-03-11T21:24:13.116051+00:00,1.0,1.0,1.0,0.540625,0.540625,0.540625,37.290688,0.438636
iter6_20260312_062555,2026-03-11T21:28:37.212135+00:00,1.0,1.0,1.0,0.540625,0.540625,0.540625,36.989663,0.419751
